hostname,vtpdomain,uplink_to_rs001,uplink_rs001_desc,uplink_to_rs002,uplink_rs002_desc,mgmt_vlan,mgmt_vlan_desc,mgmt_ip,mgmt_ip_mask,def_gateway,voice_vlan,snmp_location,floor
CONCNSN9957SW001,NETCNSNVTP01,Te1/1/1,Uplink_CONCNSN9957RS001-Tw1/0/5,Te1/1/2,Uplink_CONCNSN9957RS002-Tw1/0/5,101,ULN-10.195.88.0/24,10.195.88.4,255.255.255.0,10.195.88.1,0,"RM 2609, NO 3069 CAITIAN RD, TOWER A, XINHE CENTURY MANSION",26
CONCNSN9957SW002,NETCNSNVTP01,Te1/1/1,Uplink_CONCNSN9957RS001-Tw1/0/6,Te1/1/2,Uplink_CONCNSN9957RS002-Tw1/0/6,101,ULN-10.195.88.0/24,10.195.88.5,255.255.255.0,10.195.88.1,0,"RM 2609, NO 3069 CAITIAN RD, TOWER A, XINHE CENTURY MANSION",26
