site_id,hostname,loopback,vtpdomain,ip_rr601,ip_rr602,bgp_rr601,bgp_rr602,icn_sv001_ip,icn_sv002_ip,dhcp_helper,snmp_location
9957,CONCNSN9957RS001,10.195.92.130,NETCNSNVTP01,10.195.92.17,10.195.92.21,10.195.92.16,10.195.92.20,,,"10.225.68.9,10.225.4.9,10.225.4.11,10.226.9.5,10.226.9.7,10.208.16.25","RM 2609, NO 3069 CAITIAN RD, TOWER A, XINHE CENTURY MANSION"
9957,CONCNSN9957RS002,10.195.92.131,NETCNSNVTP01,10.195.92.19,10.195.92.23,10.195.92.18,10.195.92.22,,,"10.225.68.9,10.225.4.9,10.225.4.11,10.226.9.5,10.226.9.7,10.208.16.25","RM 2609, NO 3069 CAITIAN RD, TOWER A, XINHE CENTURY MANSION"
